name,volume,count,cost,sum cost
нет этикетки,0.25,-542.0,0.0,-0.0
крем для лица Увлажняющий,0.05,-41.0,10.0,-410.0
крем от пигментных пятен,0.05,-187.0,10.0,-1870.0
молочко для умывания,0.1,-132.0,10.0,-1320.0
гель для умывания,0.1,-265.0,10.0,-2650.0
мусс для умывания,0.1,-7.0,10.0,-70.0
бальзам для губ Шоколадный,0.006,-157.0,6.0,-942.0
бальзам для губ Медовый,0.006,-111.0,6.0,-666.0
бальзам для губ Апельсиновый,0.006,-203.0,6.0,-1218.0
бальзам для губ Клубничный,0.006,-349.0,6.0,-2094.0
бальзам для губ Облепиха,0.006,-206.0,6.0,-1236.0
сыворотка вокруг глаз,0.025,-124.0,6.0,-744.0
шампунь норм,0.25,-57.0,12.0,-684.0
шампунь жир,0.25,-43.0,12.0,-516.0
шампунь сух,0.25,-30.0,12.0,-360.0
бальзам интенсивного восстановления,0.25,-19.0,12.0,-228.0
бальзам для окрашенных волос,0.25,-12.0,12.0,-144.0
бальзам для волос Питание и блеск,0.25,-7.0,12.0,-84.0
сыворотка против выпадения волос,0.1,-31.0,10.0,-310.0
Маска пилинг,0.1,-210.0,10.0,-2100.0
скраб для тела Кофейный с мерцанием,0.2,-80.0,20.0,-1600.0
скраб для тела кокосовый с мерцанием,0.2,-6.0,20.0,-120.0
интимгель,0.25,-70.0,18.0,-1260.0
крем для упругости груди,0.05,-51.0,10.0,-510.0
кератолитик,0.5,-57.0,15.0,-855.0
гелевый дезодорант тропический фрукт,0.1,-63.0,10.0,-630.0
гелевый дезодорант Лайм,0.1,-76.0,10.0,-760.0
гелевый дезодорант Зеленый чай,0.1,-44.0,10.0,-440.0
гелевый дезодорант Мужской,0.1,-36.0,10.0,-360.0
сыворотка Супер Лифтинг,0.03,-296.0,6.0,-1776.0
сыворотка витаминная БОМБА,0.03,-264.0,6.0,-1584.0
сыворотка Анти Акне,0.03,-462.0,6.0,-2772.0
гидрофильное масло,0.1,-83.0,10.0,-830.0
масло для ресниц,0.007,0.0,6.0,0.0
Посуда бархатная роза 1л,1.0,1000.0,10.12,10120.0
Посуда лимонная свежесть 1л,1.0,1000.0,10.12,10120.0
Посуда мускус и фрезии 1л,1.0,1000.0,10.12,10120.0
Жидкое мыло Бабл Гам 1 л,1.0,1000.0,10.12,10120.0
Жидкое мыло без запаха1 л,1.0,1000.0,10.12,10120.0
Жидкое мыло миндальное молочко1 л,1.0,1000.0,10.12,10120.0
Жидкое мыло орхидея1 л,1.0,1000.0,10.12,10120.0
Посуда бархатная роза 5л,5.0,1000.0,10.6,10600.0
Посуда лимонная свежесть 5л,5.0,1000.0,10.6,10600.0
Средство для мытья пола Лаванда 3л,3.0,1000.0,8.6,8600.0
Средство для мытья пола Лаванда 5л,5.0,1000.0,10.4,10400.0
Средство для мытья пола Лимонная свежесть 5л,5.0,1000.0,10.6,10600.0
Средство для мытья пола без запаха 5л,5.0,1000.0,10.6,10600.0
Средство для мытья пола без запаха 3л,3.0,1000.0,8.6,8600.0
Средство для мытья пола Манго и Маракуйя 3л,3.0,1000.0,8.6,8600.0
Средство для мытья пола Манго и Маракуйя 5л,5.0,1000.0,10.6,10600.0
Кондиционер для белья Альпийская свежесть 3л,3.0,1000.0,8.8,8800.0
Кондиционер для белья Альпийская свежесть 5л,5.0,1000.0,10.8,10800.0
Жидкое мыло бабл гам 3 л,3.0,1000.0,8.8,8800.0
Кондиционер для белья бабл гам 5л,5.0,3000.0,10.8,32400.000000000004
Жидкое мыло бабл гам 5 л,5.0,1000.0,10.8,10800.0
Кондиционер для белья миндальное молочко 5л,5.0,2000.0,10.6,21200.0
Жидкое мыло мята и ваниль 3л,3.0,2000.0,8.8,17600.0
Жидкое мыло мята и ваниль 5л,5.0,1000.0,10.8,10800.0
Жидкое мыло Орхидея 3л,3.0,1000.0,8.8,8800.0
Кондиционер для белья Орхидея 3л,3.0,1000.0,8.8,8800.0
Кондиционер для белья Орхидея 5л,5.0,1000.0,10.8,10800.0
Посуда бархатная роза 3л,3.0,1000.0,8.8,8800.0
Посуда лимонная свежесть 3л,3.0,1000.0,8.8,8800.0
Посуда Мускус и фрезии 3л,3.0,1000.0,8.8,8800.0
Кондиционер для белья бабл гам 3л,3.0,1000.0,8.8,8800.0
Кондиционер для белья Мминдальное молочко 3л,3.0,1000.0,8.8,8800.0
Жидкое мыло Орхидея 5л,5.0,1000.0,10.6,10600.0
гель для стирки белья Альпийская свежесть 1л,1.0,1000.0,5.0,5000.0
гель для стирки белья Бабл гам 1л,1.0,1000.0,5.0,5000.0
гель для стирки белья без запаха 1л,1.0,1000.0,5.0,5000.0
гель для стирки белья Луговые травы 1л,1.0,1000.0,5.0,5000.0
гель для стирки белья Морская свежесть 1л,1.0,1000.0,5.0,5000.0
гель для стирки белья Орхидея 1л,1.0,1000.0,5.0,5000.0
Кондиционер для белья Альпийская свежесть 1л,1.0,1000.0,5.0,5000.0
Кондиционер для белья бабл гам 1л,1.0,1000.0,5.0,5000.0
Кондиционер для белья Миндальное молочко 1л,1.0,1000.0,5.0,5000.0
Кондиционер для белья Орхидея 1л,1.0,1000.0,5.0,5000.0
Средство для мытья пола Лимонная свежесть1л,1.0,1000.0,5.0,5000.0
Средство для мытья пола Лаванда1л,1.0,1000.0,5.0,5000.0
Средство для мытья пола без запаха 1л,1.0,1000.0,5.0,5000.0
Средство для мытья пола Манго и маракуйя 1л,1.0,1000.0,5.0,5000.0
Средство для мытья пола Шерсть и шелк 1л,1.0,1000.0,5.0,5000.0
гель для стирки белья Орхидея 3л,3.0,1000.0,8.8,8800.0
гель для стирки белья Орхидея 5л,5.0,1000.0,10.6,10600.0
гель для стирки белья Альпийская свежесть 5л,5.0,1000.0,10.6,10600.0
гель для стирки белья Альпийская свежесть 3л,3.0,1000.0,8.8,8800.0
гель для стирки белья Бабл гам 3л,3.0,1000.0,8.6,8600.0
гель для стирки белья Бабл гам 5л,5.0,1000.0,10.6,10600.0
гель для стирки белья без запаха 3л,3.0,1000.0,8.6,8600.0
гель для стирки белья без запаха 5л,5.0,1000.0,10.6,10600.0
Жидкое мыло без запаха 5л,5.0,1000.0,10.6,10600.0
Жидкое мыло без запаха 3л,3.0,1000.0,8.6,8600.0
Посуда мускус и фрезии 5л,5.0,1000.0,10.6,10600.0
гель для стирки белья Луговые травы 3л,3.0,1000.0,8.6,8600.0
гель для стирки белья Луговые травы 5л,5.0,1000.0,10.6,10600.0
гель для стирки белья Морская свежесть 3л,3.0,1000.0,8.6,8600.0
