name,mass,cost,sum cost
день Роза,-5155.15,59.593300000000006,-307212.400495
день Лаванда,-5.4,64.61,-348.894
день Зрелая,-2.15,69.8541,-150.186315
ночь Роза,-5.1000000000000005,92.14479999999999,-469.93847999999997
ночь Лаванда,-10.100000000000001,75.3645,-761.1814500000002
ночь Зрелая,-5.15,82.70475,-425.92946250000006
гель для умывания,-26.5,126.1196,-3342.1694
молочко для умывания,-13.200000000000001,76.11125,-1004.6685000000001
гидрофильное масло,-8.3,501.0880000000001,-4159.0304000000015
крем от пигментных пятен,-9.35,201.24,-1881.594
крем для лица Увлажняющий,-2.0500000000000003,245.73400000000004,-503.7547000000001
маска для лица Очищающая,-9.9,82.3115,-814.8838499999999
маска для лица Увлажняющая,-7.45,193.1012,-1438.60394
маска для лица с АХА-КИСЛОТАМИ ,-1.55,263.98150000000004,-409.1713250000001
крем веки Питательный ,-1.275,136.414,-173.92784999999998
крем веки от Первых морщин,-2.19,149.66,-327.7554
крем веки с Лифтинг эффектом,-2.835,246.37149999999997,-698.4632024999999
крем веки от Темных кругов,-1.9949999999999999,223.87149999999997,-446.6236424999999
сыворотка вокруг глаз,-3.1,690.485,-2140.5035000000003
бальзам для губ Медовый,-0.666,889.0,-592.0740000000001
бальзам для губ Клубничный,-2.094,892.25,-1868.3715
бальзам для губ Облепиха,-1.236,886.5,-1095.714
бальзам для губ Шоколадный,-2.512,885.0,-2223.12
бальзам для губ Апельсиновый,-1.218,890.7,-1084.8726
мусс для умывания,-0.7000000000000001,135.30375,-94.71262500000002
масло для ресниц,0.0,906.4475,0.0
тоник,-4.9,354.6259999999999,-1737.6673999999998
крем Моллис,0.0,173.07365000000001,0.0
сыворотка витаминная БОМБА,-7.92,151.81015000000002,-1202.3363880000002
сыворотка Супер Лифтинг,-8.879999999999999,177.8238,-1579.0753439999999
сыворотка Анти Акне,-13.86,160.81954999999996,-2228.9589629999996
охлаждающий крем для ног,0.0,120.43925000000002,0.0
Крем от растяжек,0.0,125.57115000000003,0.0
крем для упругости груди,-2.5500000000000003,110.2012,-281.01306000000005
интимгель,-17.5,188.38824999999997,-3296.7943749999995
гелевый дезодорант,0.0,112.4612,0.0
скраб для тела Крепкий орех,0.0,170.0735,0.0
бельди,0.0,604.5899999999999,0.0
скраб для тела Кофейный с мерцанием,-16.0,149.66840000000002,-2394.6944000000003
скраб для тела кокосовый с мерцанием,-1.2000000000000002,106.24000000000001,-127.48800000000003
кератолитик,-28.5,53.4376,-1522.9716
шампунь норм,-14.25,223.29915000000003,-3182.0128875000005
шампунь жир,-10.75,222.42915000000002,-2391.1133625
шампунь сух,-7.5,223.56915000000004,-1676.7686250000002
бальзам интенсивного восстановления,-4.75,135.91025000000002,-645.5736875000001
бальзам для окрашенных волос,-3.0,133.78025,-401.34074999999996
бальзам для волос Питание и блеск,-1.75,134.42110000000002,-235.23692500000004
маска для волос Укрепляющая,-129.25,104.40024999999999,-13493.732312499998
маска для волос SOS,-6.25,143.1422,-894.6387500000001
Маска пилинг ,-21.0,305.79375000000005,-6421.668750000001
сыворотка против выпадения волос,-3.1,125.15945,-387.994295
гель для стирки белья Альпийская свежесть,0.0,33.64105,0.0
"гель для стирки белья ""Альпийский луг""",0.0,31.94105,0.0
гель для стирки белья Морская свежесть,0.0,31.94105,0.0
гель для стирки белья Орхидея,0.0,33.64105,0.0
жидкое мыло Миндальное молочко,0.0,30.990150000000003,0.0
жидкое мыло Орхидея,0.0,29.690150000000003,0.0
жидкое мыло Мята и ваниль,0.0,32.99015,0.0
жидкое мыло Бубль гам,0.0,30.990150000000003,0.0
жидкое мыло Детское  без запаха,0.0,27.990150000000003,0.0
гель для мытья посуды Лимонная свежесть,0.0,25.276800000000005,0.0
гель для мытья посуды Бархатная роза,0.0,25.276800000000005,0.0
гель для мытья посуды Мускус и фрезии,0.0,25.276800000000005,0.0
средство для мытья пола Лаванда,0.0,13.754,0.0
средство для мытья пола Лимонная свежесть,0.0,13.754,0.0
средство для мытья пола Манго и маракуйя,0.0,13.754,0.0
"средство для мытья пола гипоаллергенное, без запаха",0.0,13.79735,0.0
гелевый дезодорант Зеленый чай,-4.4,112.4612,-494.82928000000004
гелевый дезодорант Тропический фрукт,-6.300000000000001,111.4612,-702.2055600000001
гелевый дезодорант Лайм,-7.6000000000000005,107.4612,-816.7051200000001
гелевый дезодорант Мужской,-3.6,106.4612,-383.26032000000004
